"State","Ratio of people per hospital","Hospital establishments in third quarter 2019","Ratio of people per hospital employee","Hospital employment in September 2019","Population on July 1, 2019"
"U.S. total",23540,13944,50,6564224,328239523
"Alabama",20689,237,50,98148,4903185
"Alaska",21516,34,48,15104,731545
"Arizona",28212,258,63,115036,7278717
"Arkansas",21711,139,58,51894,3017804
"California",25410,1555,68,582706,39512223
"Colorado",36448,158,55,103810,5758736
"Connecticut",31274,114,54,65788,3565287
"Delaware",31412,31,36,27273,973764
"District of Columbia",9166,77,24,29425,705749
"Florida",21739,988,56,386146,21477737
"Georgia",21580,492,58,183854,10617423
"Hawaii",19665,72,63,22305,1415872
"Idaho",9356,191,55,32391,1787065
"Illinois",30388,417,47,272298,12671821
"Indiana",22441,300,44,154616,6732219
"Iowa",12671,249,52,60187,3155070
"Kansas",13488,216,39,73868,2913314
"Kentucky",21688,206,49,91069,4467673
"Louisiana",10687,435,44,105412,4648794
"Maine",28004,48,38,34981,1344212
"Maryland",20847,290,52,116910,6045680
"Massachusetts",23129,298,33,209232,6892503
"Michigan",18632,536,44,229111,9986857
"Minnesota",17299,326,43,132474,5639632
"Mississippi",19841,150,48,62503,2976149
"Missouri",16769,366,36,170301,6137428
"Montana",12574,85,40,26542,1068778
"Nebraska",12321,157,48,40382,1934408
"Nevada",37110,83,73,42332,3080156
"New Hampshire",28930,47,44,30883,1359711
"New Jersey",49073,181,54,165118,8882190
"New Mexico",16254,129,54,38875,2096829
"New York",47217,412,42,464355,19453561
"North Carolina",20365,515,48,219598,10488084
"North Dakota",10439,73,31,24599,762062
"Ohio",26268,445,39,296919,11689100
"Oklahoma",16767,236,54,72734,3956971
"Oregon",43038,98,63,66498,4217737
"Pennsylvania",34507,371,44,290922,12801989
"Puerto Rico",32925,97,96,33432,3193694
"Rhode Island",39236,27,42,25409,1059361
"South Carolina",15940,323,57,90300,5148714
"South Dakota",11640,76,29,30242,884659
"Tennessee",25107,272,46,147633,6829174
"Texas",24804,1169,62,468124,28995881
"Utah",26496,121,73,43890,3205958
"Vermont",26000,24,40,15553,623989
"Virginia",27623,309,65,130440,8535519
"Washington",37697,202,56,134788,7614893
"West Virginia",18668,96,34,52369,1792147
"Wisconsin",30325,192,45,130525,5822434
"Wyoming",18086,32,47,12332,578759
