"State","Governor","Date of Birth","Date of Inauguration","Time in Office","Party"
"Alabama","Kay Ivey","October 15, 1944","April 10, 2017","3 years, 52 days","Republican"
"Alaska","Mike Dunleavy","May 5, 1961","December 3, 2018","1 year, 181 days","Republican"
"Arizona","Doug Ducey","April 9, 1964","January 5, 2015","5 years, 148 days","Republican"
"Arkansas","Asa Hutchinson","December 3, 1950","January 13, 2015","5 years, 140 days","Republican"
"California","Gavin Newsom","October 10, 1967","January 7, 2019","1 year, 146 days","Democratic"
"Colorado","Jared Polis","May 12, 1975","January 8, 2019","1 year, 145 days","Democratic"
"Connecticut","Ned Lamont","January 3, 1954","January 9, 2019","1 year, 144 days","Democratic"
"Delaware","John Carney","May 20, 1956","January 17, 2017","3 years, 136 days","Democratic"
"Florida","Ron DeSantis","September 14, 1978","January 8, 2019","1 year, 145 days","Republican"
"Georgia","Brian Kemp","November 2, 1963","January 14, 2019","1 year, 139 days","Republican"
"Hawaii","David Ige","January 15, 1957","December 1, 2014","5 years, 183 days","Democratic"
"Idaho","Brad Little","February 15, 1954","January 6, 2019","1 year, 147 days","Republican"
"Illinois","J. B. Pritzker","January 19, 1965","January 14, 2019","1 year, 139 days","Democratic"
"Indiana","Eric Holcomb","May 2, 1968","January 9, 2017","3 years, 144 days","Republican"
"Iowa","Kim Reynolds","August 4, 1959","May 24, 2017","3 years, 8 days","Republican"
"Kansas","Laura Kelly","January 24, 1950","January 14, 2019","1 year, 139 days","Democratic"
"Kentucky","Andy Beshear","November 29, 1977","December 10, 2019","174 days","Democratic"
"Louisiana","John Bel Edwards","September 16, 1966","January 11, 2016","4 years, 142 days","Democratic"
"Maine","Janet Mills","December 30, 1947","January 2, 2019","1 year, 151 days","Democratic"
"Maryland","Larry Hogan","May 25, 1956","January 21, 2015","5 years, 132 days","Republican"
"Massachusetts","Charlie Baker","November 13, 1956","January 8, 2015","5 years, 145 days","Republican"
"Michigan","Gretchen Whitmer","August 23, 1971","January 1, 2019","1 year, 152 days","Democratic"
"Minnesota","Tim Walz","April 6, 1964","January 7, 2019","1 year, 146 days","Democratic"
"Mississippi","Tate Reeves","June 5, 1974","January 14, 2020","139 days","Republican"
"Missouri","Mike Parson","September 17, 1955","June 1, 2018","2 years, 0 days","Republican"
"Montana","Steve Bullock","April 11, 1966","January 7, 2013","7 years, 146 days","Democratic"
"Nebraska","Pete Ricketts","August 19, 1964","January 8, 2015","5 years, 145 days","Republican"
"Nevada","Steve Sisolak","December 26, 1953","January 7, 2019","1 year, 146 days","Democratic"
"New Hampshire","Chris Sununu","November 5, 1974","January 5, 2017","3 years, 148 days","Republican"
"New Jersey","Phil Murphy","August 16, 1957","January 16, 2018","2 years, 137 days","Democratic"
"New Mexico","Michelle Lujan Grisham","October 24, 1959","January 1, 2019","1 year, 152 days","Democratic"
"New York","Andrew Cuomo","December 6, 1957","January 1, 2011","9 years, 152 days","Democratic"
"North Carolina","Roy Cooper","June 13, 1957","January 1, 2017","3 years, 152 days","Democratic"
"North Dakota","Doug Burgum","August 1, 1956","December 15, 2016","3 years, 169 days","Republican"
"Ohio","Mike DeWine","January 5, 1947","January 14, 2019","1 year, 139 days","Republican"
"Oklahoma","Kevin Stitt","December 28, 1972","January 14, 2019","1 year, 139 days","Republican"
"Oregon","Kate Brown","June 21, 1960","February 18, 2015","5 years, 104 days","Democratic"
"Pennsylvania","Tom Wolf","November 17, 1948","January 20, 2015","5 years, 133 days","Democratic"
"Rhode Island","Gina Raimondo","May 17, 1971","January 6, 2015","5 years, 147 days","Democratic"
"South Carolina","Henry McMaster","May 27, 1947","January 24, 2017","3 years, 129 days","Republican"
"South Dakota","Kristi Noem","November 30, 1971","January 5, 2019","1 year, 148 days","Republican"
"Tennessee","Bill Lee","October 9, 1959","January 19, 2019","1 year, 134 days","Republican"
"Texas","Greg Abbott","November 13, 1957","January 20, 2015","5 years, 133 days","Republican"
"Utah","Gary Herbert","May 7, 1947","August 11, 2009","10 years, 295 days","Republican"
"Vermont","Phil Scott","August 4, 1958","January 5, 2017","3 years, 148 days","Republican"
"Virginia","Ralph Northam","September 13, 1959","January 13, 2018","2 years, 140 days","Democratic"
"Washington","Jay Inslee","February 9, 1951","January 16, 2013","7 years, 137 days","Democratic"
"West Virginia","Jim Justice","April 27, 1951","January 16, 2017","3 years, 137 days","Republican"
"Wisconsin","Tony Evers","November 5, 1951","January 7, 2019","1 year, 146 days","Democratic"
"Wyoming","Mark Gordon","March 14, 1957","January 7, 2019","1 year, 146 days","Republican"
"American Samoa","Lolo Matalasi Moliga","January 1, 1949","January 3, 2013","7 years, 150 days","Democratic"
"Guam","Lou Leon Guerrero","November 8, 1950","January 7, 2019","1 year, 146 days","Democratic"
"Northern Mariana Islands","Ralph Torres","August 6, 1979","December 29, 2015","4 years, 155 days","Republican"
"Puerto Rico","Wanda Vázquez Garced","July 9, 1960","August 7, 2019","299 days","New Progressive"
"United States Virgin Islands","Albert Bryan","February 21, 1968","January 7, 2019","1 year, 146 days","Democratic"
