"State","Number Hospitals","Staffed Beds","Total Discharges","Patient Days","Gross Patient Revenue ($000)"
"AK - Alaska",10,1235,45209,243272,"$5,374,320"
"AL - Alabama",89,15330,592368,2818440,"$60,726,101"
"AR - Arkansas",52,7873,315200,1385087,"$27,777,922"
"AS - American Samoa",1,0,0,0,"$0"
"AZ - Arizona",73,13416,610133,2660941,"$79,447,094"
"CA - California",343,74624,3084295,14352052,"$484,959,610"
"CO - Colorado",55,8189,394733,1755507,"$67,533,414"
"CT - Connecticut",34,8798,368120,1742965,"$40,204,715"
"DC - Washington D.C.",7,2117,93225,586450,"$12,585,158"
"DE - Delaware",8,2072,93905,470640,"$7,927,141"
"FL - Florida",215,56074,2567297,11736973,"$334,412,480"
"GA - Georgia",112,22521,938605,4721022,"$109,617,058"
"GU - Guam",3,306,12300,73681,"$424,341"
"HI - Hawaii",14,2583,88997,520820,"$8,136,372"
"IA - Iowa",39,6266,261520,1163810,"$24,910,171"
"ID - Idaho",18,2455,114029,472270,"$13,095,412"
"IL - Illinois",142,29156,1238007,5605904,"$149,805,442"
"IN - Indiana",101,16055,685644,3108919,"$81,011,375"
"KS - Kansas",56,6382,273413,1195139,"$33,804,205"
"KY - Kentucky",74,13618,531922,2498618,"$59,063,468"
"LA - Louisiana",108,15040,512274,2438175,"$57,971,111"
"MA - Massachusetts",73,15192,743119,3618061,"$71,408,802"
"MD - Maryland",53,10803,557295,2833407,"$19,333,142"
"ME - Maine",19,2887,111879,538476,"$11,321,002"
"MI - Michigan",105,23722,1127446,4794188,"$95,622,442"
"MN - Minnesota",55,10504,502871,2253688,"$44,995,234"
"MO - Missouri",83,16706,710740,3273493,"$74,225,399"
"MP - Northern Mariana Islands",1,74,3466,15927,"$0"
"MS - Mississippi",70,10131,325453,1493536,"$36,172,882"
"MT - Montana",17,2202,85975,344348,"$7,493,498"
"NC - North Carolina",108,23289,988598,4862283,"$103,690,769"
"ND - North Dakota",10,2003,75792,350291,"$8,424,459"
"NE - Nebraska",26,4245,179781,826000,"$15,310,364"
"NH - New Hampshire",14,2276,104378,513991,"$13,687,853"
"NJ - New Jersey",78,20207,880996,4324343,"$124,668,729"
"NM - New Mexico",37,3891,164917,763020,"$18,377,251"
"NV - Nevada",31,5726,288188,1414301,"$44,394,789"
"NY - New York",187,57288,2200010,11802121,"$249,756,045"
"OH - Ohio",146,27064,1202710,5429674,"$144,742,436"
"OK - Oklahoma",90,10289,406719,1895322,"$48,108,606"
"OR - Oregon",37,6111,320118,1397894,"$28,554,145"
"PA - Pennsylvania",176,34815,1448049,6779096,"$209,017,774"
"PR - Puerto Rico",52,8231,303702,1738530,"$4,705,931"
"RI - Rhode Island",11,2440,108782,503639,"$10,458,737"
"SC - South Carolina",66,11674,475491,2371867,"$61,673,524"
"SD - South Dakota",24,2734,95493,400006,"$11,858,256"
"TN - Tennessee",100,18456,779140,3701522,"$87,392,676"
"TX - Texas",365,58328,2633826,12172205,"$336,725,555"
"UT - Utah",35,4621,205860,814305,"$19,499,482"
"VA - Virginia",90,17706,728607,3487217,"$84,246,314"
"VI - Virgin Islands",2,184,4132,24718,"$194,050"
"VT - Vermont",7,835,38540,198496,"$4,617,302"
"WA - Washington",62,10259,540898,2495246,"$65,490,845"
"WI - Wisconsin",76,11066,495855,2210554,"$58,035,043"
"WV - West Virginia",35,5509,207141,1046375,"$19,010,151"
"WY - Wyoming",14,1261,32221,116147,"$3,070,645"
"T O T A L",3909,746839,31899384,150354972,"$3,795,071,042"
