"AK","7.70","1.1779"
"AL","9.90","10.4519"
"AR","5.20","6.6993"
"AZ","6.50","7.4200"
"CA","10.00","8.5504"
"CO","6.10","17.2978"
"CT","4.50","58.8013"
"DE","9.30","43.1372"
"FL","8.50","9.9574"
"GA","7.30","16.8287"
"HI","19.90","1.3435"
"IA","6.90","19.6434"
"ID","9.00","5.8164"
"IL","12.20","31.5616"
"IN","13.90","20.7804"
"KS","8.40","11.8293"
"KY","10.20","7.9040"
"LA","7.80","37.5472"
"MA","12.30","72.4977"
"MD","6.60","30.8552"
"ME","7.60","3.7590"
"MI","18.40","26.3844"
"MN","5.20","7.0464"
"MO","5.80","7.5025"
"MS","10.30","16.5460"
"MT","7.70","0.5437"
"NC","7.90","7.4140"
"ND","6.50","10.9326"
"NE","4.30","20.8404"
"NH","13.90","10.5793"
"NJ","11.60","98.3777"
"NM","5.00","13.3392"
"NV","21.30","10.5030"
"NY","10.40","36.1275"
"OH","11.00","11.7393"
"OK","10.80","6.3805"
"OR","10.70","2.8099"
"PA","9.30","29.8894"
"RI","12.30","63.4576"
"SC","8.90","8.0291"
"SD","7.10","26.1385"
"TN","11.40","10.4981"
"TX","7.70","7.9896"
"UT","5.90","9.7731"
"VA","7.30","15.9527"
"VT","12.50","4.7868"
"WA","10.30","6.5551"
"WI","11.00","7.2061"
"WV","9.20","4.3662"
"WY","5.40","5.4355"
