PostalCode,IncreaseInUnemploymentMarchToApril,increaseInCasesPer10000
AK,7.70,2.3559
AL,9.90,20.9039
AR,5.20,13.3985
AZ,6.50,14.8401
CA,10.00,17.1009
CO,6.10,34.5957
CT,4.50,117.6027
DE,9.30,86.2745
FL,8.50,19.9148
GA,7.30,33.6573
HI,19.90,2.6870
IA,6.90,39.2867
ID,9.00,11.6328
IL,12.20,63.1233
IN,13.90,41.5607
KS,8.40,23.6584
KY,10.20,15.8079
LA,7.80,75.0944
MA,12.30,144.9954
MD,6.60,61.7104
ME,7.60,7.5179
MI,18.40,52.7688
MN,5.20,14.0929
MO,5.80,15.0050
MS,10.30,33.0920
MT,7.70,1.0875
NC,7.90,14.8281
ND,6.50,21.8652
NE,4.30,41.6807
NH,13.90,21.1586
NJ,11.60,196.7554
NM,5.00,26.6785
NV,21.30,21.0062
NY,10.40,72.2549
OH,11.00,23.4785
OK,10.80,12.7609
OR,10.70,5.6197
PA,9.30,59.7787
RI,12.30,126.9152
SC,8.90,16.0583
SD,7.10,52.2770
TN,11.40,20.9962
TX,7.70,15.9791
UT,5.90,19.5461
VA,7.30,31.9055
VT,12.50,9.5735
WA,10.30,13.1103
WI,11.00,14.4121
WV,9.20,8.7324
WY,5.40,10.8711
